Mqtt Timestamp, Unity Timestamp, Angle
"17:11:44.295831","17:11:45.341655","55"
"17:11:44.331790","17:11:45.341655","55"
"17:11:44.368423","17:11:45.341655","55"
"17:11:44.403866","17:11:45.341655","55"
"17:11:44.439449","17:11:45.341655","55"
"17:11:44.477069","17:11:45.601959","55"
"17:11:44.512731","17:11:45.601959","55"
"17:11:44.548197","17:11:45.601959","55"
"17:11:44.583653","17:11:45.601959","55"
"17:11:44.619512","17:11:45.601959","55"
"17:11:44.655100","17:11:45.601959","55"
"17:11:44.690591","17:11:45.601959","55"
"17:11:44.726693","17:11:45.771505","55"
"17:11:44.763870","17:11:45.771505","55"
"17:11:44.800253","17:11:45.771505","55"
"17:11:44.835722","17:11:45.771505","55"
"17:11:44.872457","17:11:45.771505","55"
"17:11:44.907931","17:11:45.771505","55"
"17:11:44.943795","17:11:45.771505","55"
"17:11:44.980840","17:11:46.081182","55"
"17:11:45.021988","17:11:46.081182","55"
"17:11:45.058065","17:11:46.081182","55"
"17:11:45.093523","17:11:46.081182","55"
"17:11:45.129291","17:11:46.081182","55"
"17:11:45.166144","17:11:46.081182","55"
"17:11:45.201648","17:11:46.081182","55"
"17:11:45.237544","17:11:46.435236","55"
"17:11:45.288477","17:11:46.435236","55"
"17:11:45.323799","17:11:46.435236","55"
"17:11:45.360739","17:11:46.435236","55"
"17:11:45.404379","17:11:46.737942","55"
"17:11:45.448198","17:11:46.737942","55"
"17:11:45.484630","17:11:46.737942","55"
"17:11:45.520144","17:11:46.737942","55"
"17:11:45.555630","17:11:46.737942","55"
"17:11:45.591642","17:11:46.737942","55"
"17:11:45.627160","17:11:46.737942","55"
"17:11:45.662681","17:11:46.737942","55"
"17:11:45.698302","17:11:47.090011","55"
"17:11:45.735436","17:11:47.090011","55"
"17:11:45.770810","17:11:47.090011","55"
"17:11:45.806457","17:11:47.090011","55"
"17:11:45.842242","17:11:47.090011","55"
"17:11:45.878778","17:11:47.090011","55"
"17:11:45.914285","17:11:47.090011","55"
"17:11:45.950194","17:11:47.090011","55"
"17:11:45.986882","17:11:47.090011","55"
"17:11:46.022341","17:11:47.090011","55"
"17:11:46.058193","17:11:47.428108","55"
"17:11:46.101546","17:11:47.428108","55"
"17:11:46.137118","17:11:47.428108","55"
"17:11:46.172380","17:11:47.428108","55"
"17:11:46.208549","17:11:47.428108","55"
"17:11:46.243976","17:11:47.428108","55"
"17:11:46.280878","17:11:47.428108","55"
"17:11:46.316459","17:11:47.428108","55"
"17:11:46.351923","17:11:47.429105","55"
"17:11:46.390554","17:11:47.787148","55"
"17:11:46.426143","17:11:47.787148","55"
"17:11:46.461865","17:11:47.788145","55"
"17:11:46.498074","17:11:47.788145","55"
"17:11:46.533471","17:11:47.788145","55"
"17:11:46.569194","17:11:47.788145","55"
"17:11:46.604578","17:11:47.788145","55"
"17:11:46.640264","17:11:47.788145","55"
"17:11:46.685329","17:11:47.788145","55"
"17:11:46.720785","17:11:48.028503","55"
"17:11:46.762230","17:11:48.028503","55"
"17:11:46.797900","17:11:48.028503","55"
"17:11:46.834278","17:11:48.029501","55"
"17:11:46.870937","17:11:48.029501","55"
"17:11:46.906556","17:11:48.029501","55"
"17:11:46.942116","17:11:48.029501","55"
"17:11:46.978109","17:11:48.029501","55"
"17:11:47.013591","17:11:48.029501","55"
"17:11:47.049424","17:11:48.083356","55"
"17:11:47.093787","17:11:48.083356","55"
"17:11:47.130123","17:11:48.083356","55"
"17:11:47.165956","17:11:48.083356","55"
"17:11:47.201482","17:11:48.083356","55"
"17:11:47.238215","17:11:48.083356","55"
"17:11:47.273998","17:11:48.083356","55"
"17:11:47.310013","17:11:48.083356","55"
"17:11:47.345688","17:11:48.083356","55"
"17:11:47.381928","17:11:48.083356","55"
"17:11:47.417808","17:11:48.083356","55"
"17:11:47.459444","17:11:48.083356","55"
"17:11:47.500703","17:11:48.083356","55"
"17:11:47.536328","17:11:48.083356","55"
"17:11:47.571727","17:11:48.083356","55"
"17:11:47.607483","17:11:48.083356","55"
"17:11:47.643104","17:11:48.083356","55"
"17:11:47.679845","17:11:48.091335","55"
"17:11:47.715662","17:11:52.114149","55"
"17:11:47.760618","17:11:52.114149","55"
"17:11:47.798330","17:11:52.114149","55"
"17:11:47.834573","17:11:52.114149","55"
"17:11:47.870165","17:11:52.114149","55"
"17:11:47.905872","17:11:52.114149","55"
"17:11:47.941454","17:11:52.114149","55"
"17:11:47.977124","17:11:52.114149","55"
"17:11:48.012550","17:11:52.114149","55"
"17:11:48.048639","17:11:52.114149","55"
"17:11:48.084158","17:11:52.114149","55"
"17:11:48.119850","17:11:52.114149","55"
"17:11:48.157315","17:11:52.114149","55"
"17:11:48.200970","17:11:52.114149","55"
"17:11:48.236532","17:11:52.114149","55"
"17:11:48.272454","17:11:52.114149","55"
"17:11:48.308921","17:11:52.114149","55"
"17:11:48.344530","17:11:52.114149","55"
"17:11:48.387062","17:11:52.132101","55"
"17:11:48.422643","17:11:52.132101","55"
"17:11:48.458282","17:11:52.132101","55"
"17:11:48.494763","17:11:52.132101","55"
"17:11:48.530407","17:11:52.132101","55"
"17:11:48.566188","17:11:52.132101","55"
"17:11:48.602960","17:11:52.132101","55"
"17:11:48.638674","17:11:52.132101","55"
"17:11:48.674256","17:11:52.132101","55"
"17:11:48.710038","17:11:52.132101","55"
"17:11:48.745761","17:11:52.132101","55"
"17:11:48.781700","17:11:52.132101","55"
"17:11:48.817729","17:11:52.132101","55"
"17:11:48.853281","17:11:52.132101","55"
"17:11:48.888866","17:11:52.132101","55"
"17:11:48.924756","17:11:52.132101","55"
"17:11:48.960841","17:11:52.132101","55"
"17:11:48.997429","17:11:52.132101","55"
"17:11:49.033321","17:11:52.132101","55"
"17:11:49.069545","17:11:52.132101","55"
"17:11:49.106384","17:11:52.132101","55"
"17:11:49.142017","17:11:52.133099","55"
"17:11:49.177847","17:11:52.133099","55"
"17:11:49.213497","17:11:52.133099","55"
"17:11:49.249414","17:11:52.133099","55"
"17:11:49.285000","17:11:52.133099","55"
"17:11:49.322429","17:11:52.133099","55"
"17:11:49.358235","17:11:52.133099","55"
"17:11:49.393794","17:11:52.133099","55"
"17:11:49.429875","17:11:52.133099","55"
"17:11:49.466208","17:11:52.133099","55"
"17:11:49.502758","17:11:52.133099","55"
"17:11:49.541172","17:11:52.133099","55"
"17:11:49.578205","17:11:52.133099","55"
"17:11:49.614921","17:11:52.133099","55"
"17:11:49.650411","17:11:52.133099","55"
"17:11:49.697583","17:11:52.143072","55"
"17:11:49.733358","17:11:52.143072","55"
"17:11:49.769126","17:11:52.143072","55"
"17:11:49.806268","17:11:52.143072","55"
"17:11:49.842161","17:11:52.143072","55"
"17:11:49.877857","17:11:52.143072","55"
"17:11:49.914486","17:11:52.143072","55"
"17:11:49.950568","17:11:52.143072","55"
"17:11:49.986748","17:11:52.143072","55"
"17:11:50.022323","17:11:52.143072","55"
"17:11:50.057980","17:11:52.143072","55"
"17:11:50.093533","17:11:52.143072","55"
"17:11:50.129201","17:11:52.143072","55"
"17:11:50.164713","17:11:52.144069","55"
"17:11:50.200631","17:11:52.144069","55"
"17:11:50.236303","17:11:52.144069","55"
"17:11:50.271801","17:11:52.144069","55"
"17:11:50.308468","17:11:52.144069","55"
"17:11:50.344475","17:11:52.206901","55"
"17:11:50.380553","17:11:52.206901","55"
"17:11:50.417771","17:11:52.206901","55"
"17:11:50.453724","17:11:52.206901","55"
"17:11:50.489969","17:11:52.206901","55"
"17:11:50.527536","17:11:52.207899","55"
"17:11:50.584750","17:11:52.207899","55"
"17:11:50.645840","17:11:52.207899","55"
"17:11:50.693963","17:11:52.207899","55"
"17:11:50.745465","17:11:52.207899","55"
"17:11:50.795444","17:11:52.207899","55"
"17:11:50.831712","17:11:52.207899","55"
"17:11:50.867739","17:11:52.207899","55"
"17:11:50.903279","17:11:52.207899","55"
"17:11:50.938847","17:11:52.207899","55"
"17:11:50.974755","17:11:52.207899","55"
"17:11:51.011242","17:11:52.207899","55"
"17:11:51.047465","17:11:52.207899","55"
"17:11:51.083474","17:11:52.239813","55"
"17:11:51.120866","17:11:52.239813","55"
"17:11:51.159927","17:11:52.239813","55"
"17:11:51.201865","17:11:52.239813","55"
"17:11:51.237715","17:11:52.239813","55"
"17:11:51.273511","17:11:52.239813","55"
"17:11:51.309073","17:11:52.239813","55"
"17:11:51.345163","17:11:52.239813","55"
"17:11:51.380904","17:11:52.239813","55"
"17:11:51.417766","17:11:52.239813","55"
"17:11:51.453428","17:11:52.239813","55"
"17:11:51.489029","17:11:52.239813","55"
"17:11:51.525835","17:11:52.239813","55"
"17:11:51.561472","17:11:52.239813","55"
"17:11:51.597592","17:11:52.239813","55"
"17:11:51.633177","17:11:52.239813","55"
"17:11:51.668843","17:11:52.239813","55"
"17:11:51.704463","17:11:52.239813","55"
"17:11:51.740227","17:11:52.239813","55"
"17:11:51.777939","17:11:52.335560","55"
"17:11:51.820803","17:11:52.335560","55"
"17:11:51.856485","17:11:52.336555","55"
"17:11:51.892723","17:11:52.336555","55"
"17:11:51.937231","17:11:52.448256","55"
"17:11:51.982344","17:11:52.503110","55"
"17:11:52.022521","17:11:52.503110","55"
"17:11:52.060875","17:11:52.503110","55"
"17:11:52.097312","17:11:52.503110","55"
"17:11:52.133427","17:11:52.547990","55"
"17:11:52.175714","17:11:52.599851","55"
"17:11:52.218957","17:11:52.661686","55"
"17:11:52.264050","17:11:52.716539","55"
"17:11:52.300091","17:11:52.717536","55"
"17:11:52.336553","17:11:52.762416","55"
"17:11:52.376180","17:11:52.827243","55"
"17:11:52.420944","17:11:52.876113","55"
"17:11:52.456544","17:11:52.876113","55"
"17:11:52.496520","17:11:52.945926","55"
"17:11:52.535800","17:11:53.007761","55"
"17:11:52.571747","17:11:53.007761","55"
"17:11:52.610765","17:11:53.055633","55"
"17:11:52.654121","17:11:53.105501","55"
"17:11:52.714393","17:11:53.158358","55"
"17:11:52.756593","17:11:53.158358","55"
"17:11:52.799867","17:11:53.264076","55"
"17:11:52.837537","17:11:53.264076","55"
"17:11:52.880563","17:11:53.326909","55"
"17:11:52.919484","17:11:53.371294","55"
"17:11:52.956002","17:11:53.371294","55"
"17:11:53.001156","17:11:53.491478","55"
"17:11:53.040088","17:11:53.491478","55"
"17:11:53.075758","17:11:53.491478","55"
"17:11:53.119663","17:11:53.537356","55"
"17:11:53.160841","17:11:53.669004","55"
"17:11:53.199642","17:11:53.669004","55"
"17:11:53.236640","17:11:53.669004","55"
"17:11:53.278948","17:11:53.777713","55"
"17:11:53.315068","17:11:53.777713","55"
"17:11:53.350546","17:11:53.777713","55"
"17:11:53.397811","17:11:53.823590","55"
"17:11:53.436189","17:11:53.930305","55"
"17:11:53.473747","17:11:53.976182","55"
"17:11:53.511997","17:11:53.976182","55"
"17:11:53.548660","17:11:53.976182","55"
"17:11:53.586681","17:11:53.976182","55"
"17:11:53.626501","17:11:54.144732","55"
"17:11:53.662434","17:11:54.144732","55"
"17:11:53.699395","17:11:54.144732","55"
"17:11:53.746704","17:11:54.204572","55"
"17:11:53.791769","17:11:54.394572","55"
"17:11:53.831632","17:11:54.394572","55"
"17:11:53.867457","17:11:54.394572","55"
"17:11:53.903398","17:11:54.394572","55"
"17:11:53.943922","17:11:54.455409","55"
"17:11:53.982341","17:11:54.455409","55"
"17:11:54.018553","17:11:54.455409","55"
"17:11:54.054363","17:11:54.498295","55"
"17:11:54.092202","17:11:54.498295","55"
"17:11:54.139215","17:11:54.620967","55"
"17:11:54.182982","17:11:54.620967","55"
"17:11:54.226777","17:11:54.691777","55"
"17:11:54.267983","17:11:54.736657","55"
"17:11:54.307067","17:11:54.737655","55"
"17:11:54.344215","17:11:54.799490","55"
"17:11:54.382828","17:11:54.852853","55"
"17:11:54.421776","17:11:54.852853","55"
"17:11:54.458946","17:11:54.852853","55"
"17:11:54.497566","17:11:55.004954","55"
"17:11:54.536799","17:11:55.004954","55"
"17:11:54.572933","17:11:55.004954","55"
"17:11:54.612348","17:11:55.091229","55"
"17:11:54.652289","17:11:55.137106","55"
"17:11:54.687899","17:11:55.137106","55"
"17:11:54.723673","17:11:55.137106","55"
"17:11:54.766223","17:11:55.260283","55"
"17:11:54.802239","17:11:55.260283","55"
"17:11:54.839815","17:11:55.260283","55"
"17:11:54.876506","17:11:55.307158","55"
"17:11:54.914298","17:11:55.380960","55"
"17:11:54.956511","17:11:55.485681","55"
"17:11:54.992911","17:11:55.485681","55"
"17:11:55.029056","17:11:55.485681","55"
"17:11:55.070641","17:11:55.530561","55"
"17:11:55.106843","17:11:55.530561","55"
"17:11:55.146091","17:11:55.657222","55"
"17:11:55.184101","17:11:55.657222","55"
"17:11:55.219561","17:11:55.657222","55"
"17:11:55.255237","17:11:55.731025","55"
"17:11:55.296846","17:11:55.731025","55"
"17:11:55.335437","17:11:55.871649","55"
"17:11:55.377957","17:11:55.871649","55"
"17:11:55.413425","17:11:55.871649","55"
"17:11:55.453378","17:11:55.872648","55"
"17:11:55.489684","17:11:55.930492","55"
"17:11:55.532578","17:11:56.063642","55"
"17:11:55.572665","17:11:56.063642","55"
"17:11:55.608157","17:11:56.063642","55"
"17:11:55.651771","17:11:56.128468","55"
"17:11:55.702721","17:11:56.235183","55"
"17:11:55.738682","17:11:56.235183","55"
"17:11:55.779099","17:11:56.324943","55"
"17:11:55.825776","17:11:56.324943","55"
"17:11:55.861004","17:11:56.324943","55"
"17:11:55.901385","17:11:56.378800","55"
"17:11:55.941041","17:11:56.378800","55"
"17:11:55.976631","17:11:56.378800","55"
"17:11:56.012052","17:11:56.424677","55"
"17:11:56.050341","17:11:56.471551","55"
"17:11:56.087272","17:11:56.517429","55"
"17:11:56.124342","17:11:56.517429","55"
"17:11:56.161143","17:11:56.560818","55"
"17:11:56.198310","17:11:56.608690","55"
"17:11:56.235097","17:11:56.658557","55"
"17:11:56.272540","17:11:56.703942","55"
"17:11:56.309473","17:11:56.703942","55"
"17:11:56.348015","17:11:56.748822","55"
"17:11:56.384751","17:11:56.795203","55"
"17:11:56.420801","17:11:56.839086","55"
"17:11:56.459582","17:11:56.885467","55"
"17:11:56.496111","17:11:56.885467","55"
"17:11:56.533689","17:11:56.929349","55"
"17:11:56.571323","17:11:56.972739","55"
"17:11:56.607636","17:11:57.017619","55"
"17:11:56.644907","17:11:57.062499","55"
"17:11:56.681734","17:11:57.106382","55"
"17:11:56.718538","17:11:57.107379","55"
"17:11:56.757250","17:11:57.150264","55"
"17:11:56.794071","17:11:57.197139","55"
"17:11:56.830698","17:11:57.247005","55"
"17:11:56.868751","17:11:57.295875","55"
"17:11:56.906163","17:11:57.342750","55"
"17:11:56.943388","17:11:57.342750","55"
"17:11:56.980217","17:11:57.386633","55"
"17:11:57.016584","17:11:57.432510","55"
"17:11:57.054952","17:11:57.480382","55"
"17:11:57.091666","17:11:57.525262","55"
"17:11:57.127834","17:11:57.525262","55"
"17:11:57.165855","17:11:57.584104","55"
"17:11:57.217210","17:11:57.630979","55"
"17:11:57.258240","17:11:57.678851","55"
"17:11:57.301338","17:11:57.798531","55"
"17:11:57.337895","17:11:57.798531","55"
"17:11:57.373489","17:11:57.847401","55"
"17:11:57.422666","17:11:57.847401","55"
"17:11:57.467837","17:11:57.899262","55"
"17:11:57.510676","17:11:58.016948","55"
"17:11:57.547207","17:11:58.016948","55"
"17:11:57.582751","17:11:58.016948","55"
"17:11:57.627486","17:11:58.142612","55"
"17:11:57.664188","17:11:58.143609","55"
"17:11:57.699688","17:11:58.143609","55"
"17:11:57.736932","17:11:58.143609","55"
"17:11:57.781973","17:11:58.258303","55"
"17:11:57.823172","17:11:58.258303","55"
"17:11:57.865675","17:11:58.258303","55"
"17:11:57.907993","17:11:58.309167","55"
"17:11:57.944317","17:11:58.358036","55"
"17:11:57.987708","17:11:58.418380","55"
"17:11:58.029011","17:11:58.478723","55"
"17:11:58.065440","17:11:58.533577","55"
"17:11:58.101588","17:11:58.533577","55"
"17:11:58.141878","17:11:58.603390","55"
"17:11:58.178515","17:11:58.652260","55"
"17:11:58.214443","17:11:58.652260","55"
"17:11:58.253302","17:11:58.703124","55"
"17:11:58.289609","17:11:58.703124","55"
"17:11:58.331783","17:11:58.836766","55"
"17:11:58.370797","17:11:58.928521","55"
"17:11:58.418015","17:11:58.928521","55"
"17:11:58.454511","17:11:58.928521","55"
"17:11:58.492089","17:11:58.928521","55"
"17:11:58.532903","17:11:58.986367","55"
"17:11:58.570355","17:11:58.986367","55"
"17:11:58.607601","17:11:59.031247","55"
"17:11:58.646673","17:11:59.078122","55"
"17:11:58.699763","17:11:59.122005","55"
"17:11:58.742044","17:11:59.182842","55"
"17:11:58.779330","17:11:59.225727","55"
"17:11:58.814953","17:11:59.225727","55"
"17:11:58.858957","17:11:59.403757","55"
"17:11:58.895471","17:11:59.404754","55"
"17:11:58.930926","17:11:59.404754","55"
"17:11:58.968346","17:11:59.404754","55"
"17:11:59.006442","17:11:59.456616","55"
"17:11:59.051631","17:11:59.502493","55"
"17:11:59.092778","17:11:59.502493","55"
"17:11:59.134599","17:11:59.679021","55"
"17:11:59.173642","17:11:59.679021","55"
