value_wrist,value_elbow,timestamp
0.0,0.0,12:07:28.130687
0.0,0.0,12:07:28.131733
0.0,0.0,12:07:28.132557
0.0,0.0,12:07:28.133350
0.0,0.0,12:07:28.134134
0.0,0.0,12:07:28.134911
0.0,0.0,12:07:28.135735
0.0,0.0,12:07:28.136521
0.0,0.0,12:07:28.137298
0.0,0.0,12:07:28.138069
0.0,0.0,12:07:28.138839
0.0,0.0,12:07:28.139630
0.0,0.0,12:07:28.140409
0.0,0.0,12:07:28.141183
0.0,0.0,12:07:28.141964
0.0,0.0,12:07:28.142747
0.0,0.0,12:07:28.143524
0.0,0.0,12:07:28.144296
0.0,0.0,12:07:28.145067
0.0,0.0,12:07:28.145862
0.0,0.0,12:07:28.146640
0.0,0.0,12:07:28.147410
0.0,0.0,12:07:28.148179
0.0,0.0,12:07:28.148951
0.0,0.0,12:07:28.149732
0.0,0.0,12:07:28.150501
0.0,0.0,12:07:28.151268
0.0,0.0,12:07:28.152036
0.0,0.0,12:07:28.152807
0.0,0.0,12:07:28.153577
0.0,0.0,12:07:28.154346
0.0,0.0,12:07:28.155113
0.0,0.0,12:07:28.155922
0.0,0.0,12:07:28.156699
0.0,0.0,12:07:28.157470
0.0,0.0,12:07:28.158236
0.0,0.0,12:07:28.159001
0.0,0.0,12:07:28.159766
0.0,0.0,12:07:28.160530
0.0,0.0,12:07:28.161295
0.0,0.0,12:07:28.162063
0.0,0.0,12:07:28.162829
0.0,0.0,12:07:28.163595
0.0,0.0,12:07:28.164362
0.0,0.0,12:07:28.165126
0.0,0.0,12:07:28.165961
0.0,0.0,12:07:28.166742
0.0,0.0,12:07:28.167513
0.0,0.0,12:07:28.168281
0.0,0.0,12:07:28.169048
0.0,0.0,12:07:28.169817
0.0,0.0,12:07:28.170584
0.0,0.0,12:07:28.171351
0.0,0.0,12:07:28.172120
0.0,0.0,12:07:28.172891
0.0,0.0,12:07:28.173662
0.0,0.0,12:07:28.174431
0.0,0.0,12:07:28.175200
0.0,0.0,12:07:28.176113
0.0,0.0,12:07:28.176921
0.0,0.0,12:07:28.177712
0.0,0.0,12:07:28.178503
0.0,0.0,12:07:28.179300
0.0,0.0,12:07:28.180089
0.0,0.0,12:07:28.180879
0.0,0.0,12:07:28.181665
0.0,0.0,12:07:28.182455
0.0,0.0,12:07:28.183242
0.0,0.0,12:07:28.184027
0.0,0.0,12:07:28.184812
0.0,0.0,12:07:28.185697
0.0,0.0,12:07:28.186496
0.0,0.0,12:07:28.187287
0.0,0.0,12:07:28.188076
0.0,0.0,12:07:28.188864
0.0,0.0,12:07:28.189652
0.0,0.0,12:07:28.190440
0.0,0.0,12:07:28.191226
0.0,0.0,12:07:28.192011
0.0,0.0,12:07:28.192794
0.0,0.0,12:07:28.193576
0.0,0.0,12:07:28.194359
0.0,0.0,12:07:28.195146
0.0,0.0,12:07:28.195973
0.0,0.0,12:07:28.196762
0.0,0.0,12:07:28.197547
0.0,0.0,12:07:28.198332
0.0,0.0,12:07:28.199117
0.0,0.0,12:07:28.199902
0.0,0.0,12:07:28.200686
0.0,0.0,12:07:28.201472
0.0,0.0,12:07:28.202256
0.0,0.0,12:07:28.203039
0.0,0.0,12:07:28.203823
0.0,0.0,12:07:28.204608
0.0,0.0,12:07:28.205395
0.0,0.0,12:07:28.206191
0.0,0.0,12:07:28.206979
0.0,0.0,12:07:28.207763
0.0,0.0,12:07:28.208546
0.0,0.0,12:07:28.209329
0.0,0.0,12:07:28.210111
0.0,0.0,12:07:28.210894
0.0,0.0,12:07:28.211679
0.0,0.0,12:07:28.212466
0.0,0.0,12:07:28.213250
0.0,0.0,12:07:28.214034
0.0,0.0,12:07:28.214815
0.0,0.0,12:07:28.215631
0.0,0.0,12:07:28.216433
0.0,0.0,12:07:28.217220
0.0,0.0,12:07:28.218004
0.0,0.0,12:07:28.218792
0.0,0.0,12:07:28.219574
0.0,0.0,12:07:28.220360
0.0,0.0,12:07:28.221144
0.0,0.0,12:07:28.221930
0.0,0.0,12:07:28.222716
0.0,0.0,12:07:28.223499
0.0,0.0,12:07:28.224285
0.0,0.0,12:07:28.225078
0.0,0.0,12:07:28.225879
0.0,0.0,12:07:28.226670
0.0,0.0,12:07:28.227454
0.0,0.0,12:07:28.228239
0.0,0.0,12:07:28.229021
0.0,0.0,12:07:28.229803
0.0,0.0,12:07:28.230588
0.0,0.0,12:07:28.231372
0.0,0.0,12:07:28.232156
0.0,0.0,12:07:28.232941
0.0,0.0,12:07:28.233725
0.0,0.0,12:07:28.234508
0.0,0.0,12:07:28.235292
0.0,0.0,12:07:28.236092
0.0,0.0,12:07:28.236880
0.0,0.0,12:07:28.237665
0.0,0.0,12:07:28.238451
0.0,0.0,12:07:28.239236
0.0,0.0,12:07:28.240021
0.0,0.0,12:07:28.240808
0.0,0.0,12:07:28.241592
0.0,0.0,12:07:28.242378
0.0,0.0,12:07:28.243162
0.0,0.0,12:07:28.243946
0.0,0.0,12:07:28.244729
0.0,0.0,12:07:28.245513
0.0,0.0,12:07:28.246394
0.0,0.0,12:07:28.247182
0.0,0.0,12:07:28.247966
0.0,0.0,12:07:28.248747
0.0,0.0,12:07:28.249531
0.0,0.0,12:07:28.250315
0.0,0.0,12:07:28.251098
0.0,0.0,12:07:28.251881
0.0,0.0,12:07:28.252663
0.0,0.0,12:07:28.253446
0.0,0.0,12:07:28.254227
0.0,0.0,12:07:28.255010
0.0,0.0,12:07:28.255807
0.0,0.0,12:07:28.256597
0.0,0.0,12:07:28.257382
0.0,0.0,12:07:28.258166
0.0,0.0,12:07:28.258951
0.0,0.0,12:07:28.259735
0.0,0.0,12:07:28.260518
0.0,0.0,12:07:28.261300
0.0,0.0,12:07:28.262085
0.0,0.0,12:07:28.262869
0.0,0.0,12:07:28.263653
0.0,0.0,12:07:28.264465
0.0,0.0,12:07:28.265257
0.0,0.0,12:07:28.266094
0.0,0.0,12:07:28.266884
0.0,0.0,12:07:28.267674
0.0,0.0,12:07:28.268461
0.0,0.0,12:07:28.269249
0.0,0.0,12:07:28.270035
0.0,0.0,12:07:28.270819
0.0,0.0,12:07:28.271605
0.0,0.0,12:07:28.272393
0.0,0.0,12:07:28.273177
0.0,0.0,12:07:28.273959
0.0,0.0,12:07:28.274743
0.0,0.0,12:07:28.275531
0.0,0.0,12:07:28.276358
0.0,0.0,12:07:28.277151
0.0,0.0,12:07:28.277939
0.0,0.0,12:07:28.278725
0.0,0.0,12:07:28.279509
0.0,0.0,12:07:28.280293
0.0,0.0,12:07:28.281078
0.0,0.0,12:07:28.281862
0.0,0.0,12:07:28.282644
0.0,0.0,12:07:28.283427
0.0,0.0,12:07:28.284213
0.0,0.0,12:07:28.284995
0.0,0.0,12:07:28.285791
0.0,0.0,12:07:28.286582
0.0,0.0,12:07:28.287367
0.0,0.0,12:07:28.288154
0.0,0.0,12:07:28.288941
0.0,0.0,12:07:28.289725
0.0,0.0,12:07:28.290509
0.0,0.0,12:07:28.291293
0.0,0.0,12:07:28.292075
0.0,0.0,12:07:28.292857
0.0,0.0,12:07:28.293640
0.0,0.0,12:07:28.294422
0.0,0.0,12:07:28.295204
0.0,0.0,12:07:28.296001
0.0,0.0,12:07:28.296790
0.0,0.0,12:07:28.297575
0.0,0.0,12:07:28.298356
0.0,0.0,12:07:28.299141
0.0,0.0,12:07:28.299925
0.0,0.0,12:07:28.300711
0.0,0.0,12:07:28.301495
0.0,0.0,12:07:28.302279
0.0,0.0,12:07:28.303062
0.0,0.0,12:07:28.303846
0.0,0.0,12:07:28.304629
0.0,0.0,12:07:28.305417
0.0,0.0,12:07:28.306253
0.0,0.0,12:07:28.307040
0.0,0.0,12:07:28.307825
0.0,0.0,12:07:28.308606
0.0,0.0,12:07:28.309386
0.0,0.0,12:07:28.310166
0.0,0.0,12:07:28.310947
0.0,0.0,12:07:28.311728
0.0,0.0,12:07:28.312508
0.0,0.0,12:07:28.313292
0.0,0.0,12:07:28.314073
0.0,0.0,12:07:28.314856
0.0,0.0,12:07:28.315665
0.0,0.0,12:07:28.316460
0.0,0.0,12:07:28.317246
0.0,0.0,12:07:28.318027
0.0,0.0,12:07:28.318811
0.0,0.0,12:07:28.319595
0.0,0.0,12:07:28.320378
0.0,0.0,12:07:28.321160
0.0,0.0,12:07:28.321940
0.0,0.0,12:07:28.322726
0.0,0.0,12:07:28.323510
