value_wrist,value_elbow,timestamp
0.0,0.0,00:11:19.505765
0.0,0.0,00:11:19.546627
0.0,0.0,00:11:19.581966
0.0,0.0,00:11:19.617446
0.0,0.0,00:11:19.653513
0.0,0.0,00:11:19.689784
0.0,0.0,00:11:19.725295
0.0,0.0,00:11:19.761729
0.0,0.0,00:11:19.808709
0.0,0.0,00:11:19.850440
0.0,0.0,00:11:19.886250
0.0,0.0,00:11:19.921969
0.0,0.0,00:11:19.957663
0.0,0.0,00:11:19.994036
0.0,0.0,00:11:20.030001
0.0,0.0,00:11:20.065932
0.0,0.0,00:11:20.102778
0.0,0.0,00:11:20.139345
0.0,0.0,00:11:20.187341
0.0,0.0,00:11:20.231197
0.0,0.0,00:11:20.267232
0.0,0.0,00:11:20.303685
0.0,0.0,00:11:20.341439
0.0,0.0,00:11:20.384069
0.0,0.0,00:11:20.419951
0.0,0.0,00:11:20.462970
0.0,0.0,00:11:20.501148
0.0,0.0,00:11:20.547716
0.0,0.0,00:11:20.584368
0.0,0.0,00:11:20.629691
0.0,0.0,00:11:20.667274
0.0,0.0,00:11:20.703640
0.0,0.0,00:11:20.744933
0.0,0.0,00:11:20.786101
0.0,0.0,00:11:20.835687
0.0,0.0,00:11:20.881432
0.0,0.0,00:11:20.917655
0.0,0.0,00:11:20.954380
0.0,0.0,00:11:20.991966
0.0,0.0,00:11:21.032138
0.0,0.0,00:11:21.079173
0.0,0.0,00:11:21.117212
0.0,0.0,00:11:21.153026
0.0,0.0,00:11:21.189339
0.0,0.0,00:11:21.227271
0.0,0.0,00:11:21.263290
0.0,0.0,00:11:21.300696
0.0,0.0,00:11:21.336877
0.0,0.0,00:11:21.394132
0.0,0.0,00:11:21.434453
0.0,0.0,00:11:21.471845
0.0,0.0,00:11:21.509632
0.0,0.0,00:11:21.545831
0.0,0.0,00:11:21.585262
0.0,0.0,00:11:21.621177
0.0,0.0,00:11:21.660413
0.0,0.0,00:11:21.696429
0.0,0.0,00:11:21.743605
0.0,0.0,00:11:21.781866
0.0,0.0,00:11:21.819836
0.0,0.0,00:11:21.861635
0.0,0.0,00:11:21.903714
0.0,0.0,00:11:21.940822
0.0,0.0,00:11:21.977423
0.0,0.0,00:11:22.022129
0.0,0.0,00:11:22.064823
0.0,0.0,00:11:22.101576
0.0,0.0,00:11:22.137977
0.0,0.0,00:11:22.174777
0.0,0.0,00:11:22.210863
0.0,0.0,00:11:22.247668
0.0,0.0,00:11:22.290206
0.0,0.0,00:11:22.325899
0.0,0.0,00:11:22.366279
0.0,0.0,00:11:22.403707
0.0,0.0,00:11:22.448431
0.0,0.0,00:11:22.491796
0.0,0.0,00:11:22.527927
0.0,0.0,00:11:22.564985
0.0,0.0,00:11:22.602062
0.0,0.0,00:11:22.637836
0.0,0.0,00:11:22.674280
0.0,0.0,00:11:22.729397
0.0,0.0,00:11:22.765801
0.0,0.0,00:11:22.803072
0.0,0.0,00:11:22.838765
0.0,0.0,00:11:22.874768
0.0,0.0,00:11:22.911157
0.0,0.0,00:11:22.946856
0.0,0.0,00:11:22.982948
0.0,0.0,00:11:23.028782
0.0,0.0,00:11:23.065254
0.0,0.0,00:11:23.102254
0.0,0.0,00:11:23.137987
0.0,0.0,00:11:23.173670
0.0,0.0,00:11:23.209663
0.0,0.0,00:11:23.245495
0.0,0.0,00:11:23.281456
0.0,0.0,00:11:23.324321
0.0,0.0,00:11:23.360371
0.0,0.0,00:11:23.398067
0.0,0.0,00:11:23.435957
0.0,0.0,00:11:23.472657
0.0,0.0,00:11:23.517478
0.0,0.0,00:11:23.553326
0.0,0.0,00:11:23.599630
0.0,0.0,00:11:23.638337
0.0,0.0,00:11:23.683874
0.0,0.0,00:11:23.721827
0.0,0.0,00:11:23.758136
0.0,0.0,00:11:23.795630
0.0,0.0,00:11:23.837701
0.0,0.0,00:11:23.881430
0.0,0.0,00:11:23.917582
0.0,0.0,00:11:23.977717
0.0,0.0,00:11:24.017016
0.0,0.0,00:11:24.056177
0.0,0.0,00:11:24.098527
0.0,0.0,00:11:24.136621
0.0,0.0,00:11:24.176607
0.0,0.0,00:11:24.234122
0.0,0.0,00:11:24.276401
0.0,0.0,00:11:24.316785
0.0,0.0,00:11:24.355580
0.0,0.0,00:11:24.392109
0.0,0.0,00:11:24.433933
0.0,0.0,00:11:24.477149
0.0,0.0,00:11:24.528348
0.0,0.0,00:11:24.574193
0.0,0.0,00:11:24.611448
0.0,0.0,00:11:24.647548
0.0,0.0,00:11:24.684404
0.0,1.0,00:11:24.731039
0.0,1.5,00:11:24.774587
0.0,3.0,00:11:24.812682
0.0,5.0,00:11:24.858671
0.0,8.5,00:11:24.912203
0.0,11.5,00:11:24.950089
0.0,15.0,00:11:24.990743
0.0,17.5,00:11:25.026933
0.0,21.0,00:11:25.072403
0.0,25.0,00:11:25.113062
0.0,28.0,00:11:25.157475
0.0,31.0,00:11:25.193310
0.0,34.0,00:11:25.229648
0.0,37.0,00:11:25.266474
0.0,39.5,00:11:25.302339
0.0,42.0,00:11:25.339309
0.0,45.0,00:11:25.377116
0.0,48.0,00:11:25.424957
0.0,51.0,00:11:25.462501
0.0,53.5,00:11:25.498331
0.0,56.0,00:11:25.535671
0.0,58.5,00:11:25.576794
0.0,61.0,00:11:25.615680
0.0,64.0,00:11:25.661002
0.0,66.0,00:11:25.696889
0.0,68.0,00:11:25.732816
0.0,71.0,00:11:25.768985
0.0,74.0,00:11:25.822280
0.0,77.0,00:11:25.864283
0.0,79.5,00:11:25.904555
0.0,82.0,00:11:25.940518
0.0,84.5,00:11:25.978302
0.0,88.0,00:11:26.024733
0.0,90.0,00:11:26.060681
0.0,93.0,00:11:26.099648
0.0,96.0,00:11:26.140295
0.0,98.5,00:11:26.184763
0.0,101.0,00:11:26.223117
0.0,103.5,00:11:26.263335
0.0,106.0,00:11:26.299093
0.0,108.0,00:11:26.335012
0.0,110.5,00:11:26.371624
0.0,113.0,00:11:26.407340
0.0,115.0,00:11:26.443379
0.0,117.0,00:11:26.479621
0.0,119.5,00:11:26.518552
0.0,122.0,00:11:26.554545
0.0,124.0,00:11:26.590827
0.0,126.5,00:11:26.628102
0.0,128.5,00:11:26.666226
0.0,130.5,00:11:26.702546
0.0,132.5,00:11:26.738436
0.0,134.5,00:11:26.774438
0.0,136.5,00:11:26.813556
0.0,138.5,00:11:26.850462
