value_wrist,value_elbow,timestamp
0.0,0.0,00:13:24.945779
0.0,0.0,00:13:24.970198
0.0,0.0,00:13:24.993159
0.0,0.0,00:13:25.009301
0.0,0.0,00:13:25.025944
0.0,0.0,00:13:25.043377
0.0,0.0,00:13:25.060081
0.0,0.0,00:13:25.076018
0.0,0.0,00:13:25.092993
0.0,0.0,00:13:25.111401
0.0,0.0,00:13:25.128403
0.0,0.0,00:13:25.161163
0.0,0.0,00:13:25.183190
0.0,0.0,00:13:25.201459
0.0,0.0,00:13:25.217760
0.0,0.0,00:13:25.235335
0.0,0.0,00:13:25.254006
0.0,0.0,00:13:25.276301
0.0,0.0,00:13:25.294484
0.0,0.0,00:13:25.311003
0.0,0.0,00:13:25.327888
0.0,0.0,00:13:25.345015
0.0,0.0,00:13:25.361010
0.0,0.0,00:13:25.377247
0.0,0.0,00:13:25.394093
0.0,0.0,00:13:25.415866
0.0,0.0,00:13:25.434780
0.0,0.0,00:13:25.456575
0.0,0.0,00:13:25.475340
0.0,0.0,00:13:25.498718
0.0,0.0,00:13:25.529937
0.0,0.0,00:13:25.547620
0.0,0.0,00:13:25.564139
0.0,0.0,00:13:25.592305
0.0,0.0,00:13:25.609737
0.0,0.0,00:13:25.625752
0.0,0.0,00:13:25.645405
0.0,0.0,00:13:25.661352
0.0,0.0,00:13:25.677401
0.0,0.0,00:13:25.694033
0.0,0.0,00:13:25.710889
0.0,0.0,00:13:25.726932
0.0,0.0,00:13:25.743621
0.0,0.0,00:13:25.778866
0.0,0.0,00:13:25.800756
0.0,0.0,00:13:25.817115
0.0,0.0,00:13:25.833072
0.0,0.0,00:13:25.849004
0.0,0.0,00:13:25.865708
0.0,0.0,00:13:25.886372
0.0,0.0,00:13:25.911497
0.0,0.0,00:13:25.928085
0.0,0.0,00:13:25.944165
0.0,0.0,00:13:25.960709
0.0,0.0,00:13:25.980363
0.0,0.0,00:13:25.997224
0.0,0.0,00:13:26.013713
0.0,0.0,00:13:26.031576
0.0,0.0,00:13:26.048703
0.0,0.0,00:13:26.072688
0.0,0.0,00:13:26.093110
0.0,0.0,00:13:26.112079
0.0,0.0,00:13:26.135064
0.0,0.0,00:13:26.158402
0.0,0.0,00:13:26.175649
0.0,0.0,00:13:26.200077
0.0,0.0,00:13:26.218276
0.0,0.0,00:13:26.234744
0.0,0.0,00:13:26.250707
0.0,0.0,00:13:26.276013
0.0,0.0,00:13:26.294112
0.0,0.0,00:13:26.319268
0.0,0.0,00:13:26.341075
0.0,0.0,00:13:26.357089
0.0,0.0,00:13:26.373680
0.0,0.0,00:13:26.392230
0.0,0.0,00:13:26.415183
0.0,0.0,00:13:26.433177
0.0,0.0,00:13:26.458965
0.0,0.0,00:13:26.482633
0.0,0.0,00:13:26.502216
0.0,0.0,00:13:26.527089
0.0,0.0,00:13:26.544550
0.0,0.0,00:13:26.561210
0.0,0.0,00:13:26.578430
